code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600771,广誉远,中成药,青海,128.0,2.68,3.53,219629.84,167892.52,5412.41,178501.69,5.06,0.293,5.13,9.76,19961105,-35590.15,-1.01,18.94,129.85,79.88,14.04,14609.0
000976,华铁股份,运输设备,广东,45.87,5.87,15.96,454821.19,169390.72,17188.6,266666.88,1.67,0.138,2.39,3.55,20000601,-52917.46,-0.33,-7.42,96.64,33.77,21.35,30000.0
600360,华微电子,半导体,吉林,67.67,7.38,7.52,407912.47,257535.02,111949.92,53575.05,0.71,0.126,2.82,3.03,20010316,77031.38,1.02,17.12,133.52,20.7,5.8,86200.0
600890,中房股份,区域地产,北京,0.0,5.79,5.79,30711.93,22177.3,938.85,2033.78,0.04,-0.015,0.49,21.38,19960318,-39945.64,-0.69,-52.62,-0.74,-490.45,-4063.01,25693.0
300277,海联讯,软件服务,深圳,582.75,3.34,3.35,67780.5,62433.8,1399.35,8288.05,0.25,0.018,1.42,7.41,20111123,3929.28,0.12,-6.52,-76.83,21.86,2.03,20300.0
002727,一心堂,医药商业,云南,36.0,2.67,5.68,609507.63,436677.69,51356.12,57748.4,1.02,0.61,6.47,4.13,20140702,148450.31,2.61,23.53,11.36,40.94,5.64,17857.0
300015,爱尔眼科,医疗保健,湖南,80.09,11.98,15.86,703303.69,211073.72,102725.61,59085.26,0.37,0.42,2.22,19.19,20091030,129651.81,0.82,42.16,35.06,48.46,14.44,25497.0
600874,创业环保,环境保护,天津,38.98,10.87,14.27,1245289.0,415977.5,38383.1,39911.5,0.28,0.356,3.59,3.87,19950630,281079.0,1.97,9.68,14.69,39.9,23.66,109708.0
601100,恒立液压,工程机械,江苏,45.18,6.3,6.3,615609.13,329454.13,206307.0,208606.77,3.31,0.606,6.1,4.49,20111028,95542.21,1.52,104.02,442.9,32.82,13.66,12400.0
603377,东方时尚,汽车服务,北京,66.43,1.18,4.2,315959.22,97766.02,57856.26,75599.93,1.8,0.559,4.14,8.97,20160205,39043.4,0.93,1.53,-4.47,53.69,20.03,5854.0
600100,同方股份,电脑设备,北京,0.0,29.64,29.64,6275041.5,3143546.5,357072.25,930074.31,3.14,-0.062,7.05,1.54,19970627,697220.31,2.35,-4.03,-103.62,19.43,-1.12,227793.0
603359,东珠景观,建筑施工,江苏,35.18,0.57,2.28,365143.59,315006.38,1765.53,115143.05,5.06,0.98,10.25,3.51,20170901,87743.18,3.86,0.0,0.0,28.14,20.36,42343.0
603890,春秋电子,机械基件,江苏,29.28,0.34,1.37,135607.91,102634.4,17329.92,16794.82,1.23,0.852,5.31,6.27,20171212,26800.36,1.96,0.0,0.0,20.8,9.28,35047.0
300404,博济医药,医疗保健,广东,0.0,0.65,1.34,57400.63,33575.21,11859.87,17381.88,1.29,-0.018,2.99,7.69,20150424,11630.37,0.87,121.41,-184.82,32.91,-2.78,12130.0
002514,宝馨科技,机械基件,江苏,61.5,3.58,5.54,154980.09,85245.67,19168.67,28435.25,0.51,0.079,1.73,3.73,20101203,11033.57,0.2,-5.2,8.46,36.0,10.81,27298.0
002459,天业通联,工程机械,河北,217.07,3.87,3.89,143145.02,99740.52,35289.65,167438.84,4.31,0.057,3.24,3.82,20100810,-83726.25,-2.15,10.58,10.22,22.97,6.21,20000.0
601226,华电重工,专用机械,北京,5724.22,11.55,11.55,799224.75,668125.94,95925.31,122008.38,1.06,0.001,3.01,1.7,20141211,95623.07,0.83,13.45,-95.23,9.69,0.02,44944.0
000021,深科技,电脑设备,深圳,26.28,14.69,14.71,1659948.38,1120989.13,243824.2,67823.25,0.46,0.368,3.98,2.43,19940202,223643.09,1.52,-5.7,152.45,6.4,3.81,109639.0
300003,乐普医疗,医疗保健,北京,65.0,14.12,17.82,1279072.13,515870.81,113266.61,114439.82,0.64,0.505,3.61,9.09,20091030,291825.25,1.64,30.85,32.36,67.23,19.81,26191.0
600237,铜峰电子,元器件,安徽,219.26,5.64,5.64,194060.25,96869.92,87442.38,83755.11,1.48,0.015,2.18,2.06,20000609,-24115.26,-0.43,33.36,113.92,17.89,1.45,55904.0
000863,三湘印象,区域地产,上海,76.18,9.17,13.82,1442289.13,1158469.38,3675.03,325341.59,2.35,0.045,4.62,0.98,19970925,220106.02,1.59,-77.97,-86.32,40.47,6.1,29962.0
300621,维业股份,装修装饰,深圳,38.55,0.43,1.39,186181.06,169977.59,2515.88,32017.83,2.31,0.46,6.18,3.46,20170316,26666.5,1.92,0.0,0.0,13.34,4.22,19044.0
600211,西藏药业,中成药,西藏,32.54,1.46,1.8,233004.47,81212.4,14522.65,140896.94,7.84,1.37,11.38,3.66,19990721,39486.78,2.2,14.91,15.81,73.83,25.08,13800.0
300623,捷捷微电,半导体,江苏,49.21,0.37,0.94,136134.77,90112.55,38997.35,71621.06,7.65,1.64,13.04,5.81,20170314,35324.78,3.77,29.91,23.81,55.88,33.46,16204.0
600589,广东榕泰,塑料,广东,29.6,6.27,7.05,562339.38,292341.59,70763.15,129970.5,1.84,0.139,4.3,1.27,20010612,88831.31,1.26,10.05,23.41,26.43,9.41,41301.0
