,code,name,date,nums,nlast,count,clast,amount,ratio
329,600742,一汽富维,2017-09-30,19,-93,3411.96,-2737.26,74414.79,8.07
330,600741,华域汽车,2017-09-30,127,-469,11670.43,-21319.20,263168.19,4.07
331,600740,山西焦化,2017-09-30,4,-20,1145.24,-1242.03,12002.10,1.74
332,600739,辽宁成大,2017-09-30,2,-212,24.20,-8579.53,438.29,0.02
333,600738,兰州民百,2017-09-30,3,-10,117.28,-1543.15,962.87,0.32
334,600734,实达集团,2017-09-30,3,-14,1112.72,785.36,13608.57,3.17
335,600731,湖南海利,2017-09-30,3,-7,1168.45,102.87,9604.64,3.58
336,600729,重庆百货,2017-09-30,18,-89,326.53,-887.23,8793.48,0.80
337,600728,佳都科技,2017-09-30,9,-22,742.92,354.87,8016.07,0.56
338,600723,首商股份,2017-09-30,3,-31,1903.87,-2486.02,18277.19,2.89
339,600720,祁连山,2017-09-30,16,-80,5306.89,3010.05,56093.79,6.84
340,600718,东软集团,2017-09-30,19,-229,2619.72,-3048.39,44692.51,2.13
341,600717,天津港,2017-09-30,5,-92,31.64,-2790.36,372.05,0.02
342,600716,凤凰股份,2017-09-30,1,-12,105.50,-1531.57,558.10,0.12
343,600715,文投控股,2017-09-30,6,-33,22.44,-1014.60,504.06,0.05
344,600713,南京医药,2017-09-30,8,-45,820.00,-1596.50,5781.00,1.18
345,600711,盛屯矿业,2017-09-30,2,-40,40.70,-2844.69,430.20,0.03
346,600708,光明地产,2017-09-30,3,-110,372.54,-7837.65,2674.84,0.38
347,600707,彩虹股份,2017-09-30,1,-10,125.00,108.13,1088.75,0.17
348,600705,中航资本,2017-09-30,7,-197,376.56,-16762.49,2202.87,0.05
349,600704,物产中大,2017-09-30,3,-203,275.01,-7442.03,2164.33,0.21
350,600703,三安光电,2017-09-30,253,-396,42776.71,-10231.74,989852.96,10.49
351,600702,沱牌舍得,2017-09-30,92,-45,5630.20,-21.80,220084.69,16.69
352,600699,均胜电子,2017-09-30,31,-149,3431.43,-3676.99,120614.01,4.98
353,600697,欧亚集团,2017-09-30,1,-53,17.31,-2106.17,481.04,0.11
354,600693,东百集团,2017-09-30,13,-35,8431.18,-4629.42,94176.24,12.30
355,600691,阳煤化工,2017-09-30,11,5,9725.96,8482.45,37736.72,5.54
356,600690,青岛海尔,2017-09-30,88,-395,14593.50,-33998.60,220215.87,2.39
357,600688,上海石化,2017-09-30,10,-259,663.25,-14828.60,4185.09,0.09
358,600686,金龙汽车,2017-09-30,26,-82,2432.80,-5745.03,42014.41,5.50
359,600685,中船防务,2017-09-30,5,-193,58.58,-9634.09,1561.84,0.11
360,600683,京投发展,2017-09-30,2,-6,42.74,-40.14,326.52,0.06
