date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-09-14,7.13,7.16,7.12,7.1,117031.5,-0.02,-0.28,7.114,7.137,7.14,143091.6,163633.95,166593.47,0.22
2017-09-13,7.09,7.17,7.14,7.07,134318.06,0.05,0.7,7.114,7.147,7.14,164337.9,163897.65,167306.42,0.25
2017-09-12,7.1,7.11,7.09,7.06,182381.66,-0.01,-0.14,7.122,7.154,7.138,174877.82,167298.81,165528.02,0.34
2017-09-11,7.12,7.12,7.1,7.09,164051.77,-0.02,-0.28,7.136,7.163,7.14,168933.44,170147.96,161518.79,0.3
2017-09-08,7.12,7.14,7.12,7.1,117675.01,0.0,0.0,7.148,7.178,7.143,172713.65,201946.25,158751.06,0.22
2017-09-07,7.17,7.18,7.12,7.11,223263.0,-0.06,-0.84,7.16,7.176,7.142,184176.31,203521.56,160408.55,0.41
2017-09-06,7.15,7.2,7.18,7.11,187017.67,0.02,0.28,7.18,7.168,7.144,163457.39,192932.83,154633.55,0.34
2017-09-05,7.16,7.17,7.16,7.13,152659.75,0.0,0.0,7.186,7.161,7.143,159719.8,183492.02,150109.53,0.28
2017-09-04,7.18,7.19,7.16,7.13,182952.81,-0.02,-0.28,7.19,7.153,7.144,171362.47,181276.25,148428.64,0.34
2017-09-01,7.21,7.23,7.18,7.17,174988.31,-0.04,-0.55,7.208,7.149,7.145,231178.86,177696.5,144169.28,0.32
2017-08-31,7.23,7.24,7.22,7.18,119668.42,0.01,0.14,7.192,7.142,7.144,222866.81,169552.99,144027.68,0.22
2017-08-30,7.21,7.31,7.21,7.19,168329.72,0.03,0.42,7.156,7.133,7.147,222408.27,170715.19,145610.07,0.31
2017-08-29,7.28,7.28,7.18,7.16,210873.11,-0.07,-0.97,7.136,7.122,7.151,207264.24,163757.23,151473.47,0.39
2017-08-28,7.33,7.43,7.25,7.25,482034.75,0.15,2.11,7.116,7.116,7.156,191190.02,152889.62,147628.62,0.89
