code,name,year,report_date,divi,shares
600111,北方稀土,2015,2016-04-16,0.3,0
600055,万东医疗,2015,2016-04-16,0.5,6
600299,安迪苏,2016,2016-04-16,1.7,0
300673,佩蒂股份,2015,2016-04-18,5,0
601689,拓普集团,2015,2016-04-18,6.2,0
2752,昇兴股份,2015,2016-04-18,1,5
300391,康跃科技,2015,2016-04-18,0.2,0
2677,浙江美大,2015,2016-04-18,2.5,0
2581,未名医药,2015,2016-04-18,0.5,0
2553,南方轴承,2015,2016-04-18,1,0
603818,曲美家居,2015,2016-04-18,0.5,0
2127,南极电商,2015,2016-04-18,0,10
603508,思维列控,2015,2016-04-18,1.7,0
2736,国信证券,2015,2016-04-18,6,0
603979,金诚信,2015,2016-04-19,0.8,2
603608,天创时尚,2015,2016-04-19,2.5,0
603696,安记食品,2015,2016-04-19,1.5,0
603158,腾龙股份,2015,2016-04-19,2.5,10
300484,蓝海华腾,2015,2016-04-19,3,10
2791,坚朗五金,2015,2016-04-19,1.5,0
603012,创力集团,2015,2016-04-19,0.7,10
300449,汉邦高科,2015,2016-04-19,1,10
603600,永艺股份,2015,2016-04-19,5,0
300352,北信源,2015,2016-04-19,0.5,9
603688,石英股份,2015,2016-04-19,1,0
300384,三联虹普,2015,2016-04-19,2,0
300319,麦捷科技,2015,2016-04-19,0.8,0
300311,任子行,2015,2016-04-19,0.4,5
2664,信质电机,2015,2016-04-19,0.5,0
300254,仟源医药,2015,2016-04-19,0.5,2
300219,鸿利智汇,2015,2016-04-19,0.3,0
2576,通达动力,2015,2016-04-19,0.3,0
2696,百洋股份,2015,2016-04-19,1,0
300197,铁汉生态,2015,2016-04-19,1,1
601700,风范股份,2015,2016-04-19,1.5,0
300159,新研股份,2015,2016-04-19,0.2,0
603167,渤海轮渡,2015,2016-04-19,1.3,0
601718,际华集团,2015,2016-04-19,0.5,0
2456,欧菲光,2015,2016-04-19,0.7,0
2406,远东传动,2015,2016-04-19,1,0
300020,银江股份,2015,2016-04-19,0.2,0
300032,金龙机电,2015,2016-04-19,1,0
300285,国瓷材料,2015,2016-04-19,1,0
2282,博深工具,2015,2016-04-19,0.3,0
601668,中国建筑,2015,2016-04-19,2,0
600959,江苏有线,2015,2016-04-19,0,3
2150,通润装备,2015,2016-04-19,1.5,0
2131,利欧股份,2015,2016-04-19,0.3,0
2783,凯龙股份,2015,2016-04-19,5,0
2107,沃华医药,2015,2016-04-19,1,0
2100,天康生物,2015,2016-04-19,1.2,0
300269,联建光电,2015,2016-04-19,2,0
2139,拓邦股份,2015,2016-04-19,1.5,5
2009,天奇股份,2015,2016-04-19,0.5,0
2008,大族激光,2015,2016-04-19,2,0
2001,新和成,2015,2016-04-19,2,0
600114,东睦股份,2015,2016-04-19,2,0
600478,科力远,2015,2016-04-19,0,5
600015,华夏银行,2015,2016-04-19,3.6,0
600480,凌云股份,2015,2016-04-19,1,0
600521,华海药业,2015,2016-04-19,2,3
926,福星股份,2015,2016-04-19,2.5,0
916,华北高速,2015,2016-04-19,0.8,0
889,茂业通信,2015,2016-04-19,0.3,0
778,新兴铸管,2015,2016-04-19,0.3,0
738,航发控制,2015,2016-04-19,0.2,0
625,长安汽车,2015,2016-04-19,6.4,0
620,新华联,2015,2016-04-19,1,0
581,威孚高科,2015,2016-04-19,5,0
525,红太阳,2015,2016-04-19,5,0
600872,中炬高新,2015,2016-04-19,1,0
600867,通化东宝,2015,2016-04-19,2,2
600782,新钢股份,2015,2016-04-19,0.3,0
600776,东方通信,2015,2016-04-19,0.6,0
600658,电子城,2015,2016-04-19,2.7,0
600597,光明乳业,2015,2016-04-19,1.2,0
600526,菲达环保,2015,2016-04-19,1,0
600510,黑牡丹,2015,2016-04-19,0.8,0
600393,粤泰股份,2015,2016-04-19,1,0
600363,联创光电,2015,2016-04-19,0.3,0
600305,恒顺醋业,2015,2016-04-19,2.4,10
600199,金种子酒,2015,2016-04-19,0.3,0
600190,锦州港,2015,2016-04-19,0.2,0
600185,格力地产,2015,2016-04-19,2,18
600152,维科精华,2015,2016-04-19,0.2,0
600089,特变电工,2015,2016-04-19,1.8,0
2787,华源控股,2015,2016-04-20,5,0
2790,瑞尔特,2015,2016-04-20,3,0
2760,凤形股份,2015,2016-04-20,1.3,0
300423,鲁亿通,2015,2016-04-20,1,2
2757,南兴装备,2015,2016-04-20,1,0
2785,万里石,2015,2016-04-20,0.1,0
2748,世龙实业,2015,2016-04-20,0.8,10
2724,海洋王,2015,2016-04-20,0.4,0
2723,金莱特,2015,2016-04-20,0.5,0
300346,南大光电,2015,2016-04-20,1,0
300312,邦讯技术,2015,2016-04-20,0.3,10
2767,先锋电子,2015,2016-04-20,1,5
2668,奥马电器,2015,2016-04-20,1.6,0
300281,金明精机,2015,2016-04-20,0.5,0
300263,隆华节能,2015,2016-04-20,0.4,10
300261,雅本化学,2015,2016-04-20,0.2,3
300250,初灵信息,2015,2016-04-20,2.6,10
300246,宝莱特,2015,2016-04-20,0.5,0
300236,上海新阳,2015,2016-04-20,0.5,0
2589,瑞康医药,2015,2016-04-20,0.4,0
601599,鹿港文化,2015,2016-04-20,1,10
300130,新国都,2015,2016-04-20,0.5,0
2663,普邦股份,2015,2016-04-20,0.1,0
2376,新北洋,2015,2016-04-20,1.5,0
2317,众生药业,2015,2016-04-20,1.4,0
300171,东富龙,2015,2016-04-20,3,0
300075,数字政通,2015,2016-04-20,0.4,0
601117,中国化学,2015,2016-04-20,0.9,0
2344,海宁皮城,2015,2016-04-20,0.4,0
300079,数码科技,2015,2016-04-20,0.1,0
601028,玉龙股份,2015,2016-04-20,0.5,0
2132,恒星科技,2015,2016-04-20,1,5
601010,文峰股份,2015,2016-04-20,0.5,0
2206,海利得,2015,2016-04-20,4.2,0
2320,海峡股份,2015,2016-04-20,0.3,0
601199,江南水务,2015,2016-04-20,1.8,10
2462,嘉事堂,2015,2016-04-20,2.5,0
601555,东吴证券,2015,2016-04-20,3,0
600978,宜华生活,2015,2016-04-20,1.3,0
2022,科华生物,2015,2016-04-20,1.2,0
792,盐湖股份,2015,2016-04-20,0.3,0
787,*ST创智,2015,2016-04-20,0.9,0
560,昆百大A,2015,2016-04-20,0.1,0
538,云南白药,2015,2016-04-20,6,0
600880,博瑞传播,2015,2016-04-20,0.3,0
600797,浙大网新,2015,2016-04-20,0.3,0
600703,三安光电,2015,2016-04-20,2.5,6
600697,欧亚集团,2015,2016-04-20,3.5,0
600551,时代出版,2015,2016-04-20,2.3,0
600100,同方股份,2015,2016-04-20,1.3,0
300494,盛天网络,2015,2016-04-21,0,10
300501,海顺新材,2015,2016-04-21,5,0
601226,华电重工,2015,2016-04-21,1,0
603306,华懋科技,2015,2016-04-21,5,5
300315,掌趣科技,2015,2016-04-21,0.2,0
601928,凤凰传媒,2015,2016-04-21,1,0
2444,巨星科技,2015,2016-04-21,1,0
601518,吉林高速,2015,2016-04-21,0.4,0
2384,东山精密,2015,2016-04-21,0.1,0
2361,神剑股份,2015,2016-04-21,1,10
2322,理工环科,2015,2016-04-21,1,0
2346,柘中股份,2015,2016-04-21,1,0
2454,松芝股份,2015,2016-04-21,0.8,0
2190,成飞集成,2015,2016-04-21,1,0
2178,延华智能,2015,2016-04-21,0.6,0
2144,宏达高科,2015,2016-04-21,1,0
2064,华峰氨纶,2015,2016-04-21,0.2,0
601008,连云港,2015,2016-04-21,0.2,0
2182,云海金属,2015,2016-04-21,1,0
2673,西部证券,2015,2016-04-21,2.2,0
600969,郴电国际,2015,2016-04-21,0.8,0
600960,渤海活塞,2015,2016-04-21,0.1,0
600352,浙江龙盛,2015,2016-04-21,1.5,0
600435,北方导航,2015,2016-04-21,0.5,10
32,深桑达A,2015,2016-04-21,0.2,2
30,富奥股份,2015,2016-04-21,1.5,0
600592,龙溪股份,2015,2016-04-21,1,0
600156,华升股份,2015,2016-04-21,0.2,0
603311,金海环境,2015,2016-04-22,0.5,0
2779,中坚科技,2015,2016-04-22,1.2,5
300460,惠伦晶体,2015,2016-04-22,0.7,0
300489,中飞股份,2015,2016-04-22,1.3,10
300417,南华仪器,2015,2016-04-22,2,10
300411,金盾股份,2015,2016-04-22,0.5,0
2735,王子新材,2015,2016-04-22,0.8,0
300397,天和防务,2015,2016-04-22,0,10
300333,兆日科技,2015,2016-04-22,0.5,0
603366,日出东方,2015,2016-04-22,2,0
2682,龙洲股份,2015,2016-04-22,0.8,0
300452,山河药辅,2015,2016-04-22,2,10
300304,云意电气,2015,2016-04-22,2,0
2650,加加食品,2015,2016-04-22,0.4,0
2638,勤上股份,2015,2016-04-22,0,15
300276,三丰智能,2015,2016-04-22,0.1,0
2640,跨境通,2015,2016-04-22,0.5,10
603299,井神股份,2015,2016-04-22,0.5,0
2641,永高股份,2015,2016-04-22,0.5,0
2610,爱康科技,2015,2016-04-22,1,0
2618,丹邦科技,2015,2016-04-22,0.4,10
300234,开尔新材,2015,2016-04-22,0.3,0
601311,骆驼股份,2015,2016-04-22,2.2,0
